Apple MacBook Pro 13 256gb,99000,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_13_256gb_1987103890
Apple MacBook Pro 2011,27900,Яшьлек,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_2011_2002193847
Apple MacBook Air 2008 a1237,8000,Яшьлек,https://www.avito.ru/kazan/noutbuki/apple_macbook_air_2008_a1237_2012081074
Apple MacBook Pro 13 2018 TouchBar Space Gray,95800,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_13_2018_touchbar_space_gray_2003095526
"Apple MacBook Air 13-inch, 2017 128GB",45000,Суконная слобода,https://www.avito.ru/kazan/noutbuki/apple_macbook_air_13-inch_2017_128gb_1972555730
Apple MacBook Air 13 2019 i5/8/128,48999,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/apple_macbook_air_13_2019_i58128_2012738383
Ноутбук MacBook Retina 13 i5/256gb/8gb,44999,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/noutbuk_macbook_retina_13_i5256gb8gb_1980483320
Apple MacBook Pro a1229,4000,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_a1229_1993240887
"Apple MacBook Pro 13,3 2020",96300,Суконная слобода,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_133_2020_2005846509
Apple MacBook pro 13 Retina 2019,102900,Кремлёвская,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_13_retina_2019_2005217358
Apple MacBook Air 13 2016 года i5/8/128 с гарантие,46999,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/apple_macbook_air_13_2016_goda_i58128_s_garantie_2012245717
Apple MacBook Air 13 2018 Space Gray,71800,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/apple_macbook_air_13_2018_space_gray_2003179604
Apple MacBook Pro 8.1 (ч40),25000,Козья Слобода,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_8.1_ch40_2002618600
MacBook Air мощный i5/4/128 2014,35900,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/macbook_air_moschnyy_i54128_2014_1050943743
Apple MacBook Pro 15 Retina 2013,44000,Суконная слобода,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_15_retina_2013_1992801123
Apple MacBook Pro 15’ i7/16gb/ssd1024,60000,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/apple_macbook_pro_15_i716gbssd1024_1990216162
Apple MacBook Air i5/4GB/256SSD/2014,31900,Горки,https://www.avito.ru/kazan/noutbuki/apple_macbook_air_i54gb256ssd2014_2002565921
Топовый Macbook Air 13.3 i7/8/256,45000,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/topovyy_macbook_air_13.3_i78256_1326523730
MacBook Air 13,64500,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/macbook_air_13_1530437469
"Apple MacBook Air 11"" б/у 4года",24000,Кремлёвская,https://www.avito.ru/kazan/noutbuki/apple_macbook_air_11_bu_4goda_876961480
Ноутбук MacBook Air 13 (mvfm2ll/a),78000,Площадь Тукая,https://www.avito.ru/kazan/noutbuki/noutbuk_macbook_air_13_mvfm2lla_1962940476
